Identifiant de l'élément;Code de la catégorie;Nom base français;Nom frontière français;1er niveau;2eme niveau;3eme niveau;4eme niveau;5eme niveau;Unité anglais;Structure;Somme de Total poste non décomposé2;Nombre de Total poste non décomposé,,,,,
25390;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Viandes;Magret canard;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;5,83;1,,
24104;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;17,7;1,,,
25392;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Viandes;Côtelettes d'Agneau;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;33;1,,,
24105;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - de 19,1 t à 21 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;12,8;1,,,
25394;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Poissons;Truite ou saumon;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;5,24;1,,
24106;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;195;1,,,
25396;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Poissons;Bar ou dorade;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;9,59;1,,
24107;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;184;1,,,
25398;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Poissons;Moules - autres crustacés;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;5,33;1,,
24108;Statistiques territoriales > Transport de marchandises > Reçus;Déchargement annuel de poids lourds;t.km route reçues - 21,1 à 32,6 t;Statistiques territoriales ; Transport de marchandises ;;;;(tonne.km route) / (habitant.an);élément non décomposé;247;1,,,
25400;Achats de biens > Produits agro-alimentaires,plats préparés et boissons > Ingrédients > Ingrédients selon masse achetée en magasin > Produits laitiers et oeufs;Lait;poids net en magasin;Achats de biens ; Produits agro-alimentaires,plats préparés et boissons ; Ingrédients ; Ingrédients selon masse achetée en magasin ;;kgCO2e/kg of ingredient in shop (net weight);élément non décomposé;1,22;1,,
